timestamp,sensor_id,location,measurement_type,value,unit,quality,alert
2024-01-15 00:00:00,TEMP-001,Boiler Room A,temperature,78.2,°C,good,normal
2024-01-15 00:05:00,TEMP-001,Boiler Room A,temperature,78.5,°C,good,normal
2024-01-15 00:10:00,TEMP-001,Boiler Room A,temperature,79.1,°C,good,normal
2024-01-15 00:15:00,TEMP-001,Boiler Room A,temperature,80.3,°C,good,normal
2024-01-15 00:20:00,TEMP-001,Boiler Room A,temperature,81.7,°C,good,warning
2024-01-15 00:25:00,TEMP-001,Boiler Room A,temperature,83.4,°C,good,warning
2024-01-15 00:30:00,TEMP-001,Boiler Room A,temperature,87.2,°C,good,critical
2024-01-15 00:35:00,TEMP-001,Boiler Room A,temperature,89.0,°C,good,critical
2024-01-15 00:40:00,TEMP-001,Boiler Room A,temperature,88.5,°C,good,critical
2024-01-15 00:45:00,TEMP-001,Boiler Room A,temperature,85.1,°C,good,warning
2024-01-15 00:50:00,TEMP-001,Boiler Room A,temperature,82.3,°C,good,warning
2024-01-15 00:55:00,TEMP-001,Boiler Room A,temperature,79.8,°C,good,normal
2024-01-15 01:00:00,TEMP-001,Boiler Room A,temperature,78.9,°C,good,normal
2024-01-15 00:00:00,PRES-002,Pipeline Section 3,pressure,4.12,bar,good,normal
2024-01-15 00:05:00,PRES-002,Pipeline Section 3,pressure,4.15,bar,good,normal
2024-01-15 00:10:00,PRES-002,Pipeline Section 3,pressure,4.18,bar,good,normal
2024-01-15 00:15:00,PRES-002,Pipeline Section 3,pressure,4.32,bar,good,normal
2024-01-15 00:20:00,PRES-002,Pipeline Section 3,pressure,4.58,bar,good,warning
2024-01-15 00:25:00,PRES-002,Pipeline Section 3,pressure,4.89,bar,good,warning
2024-01-15 00:30:00,PRES-002,Pipeline Section 3,pressure,5.21,bar,good,critical
2024-01-15 00:35:00,PRES-002,Pipeline Section 3,pressure,5.45,bar,good,critical
2024-01-15 00:40:00,PRES-002,Pipeline Section 3,pressure,5.38,bar,good,critical
2024-01-15 00:45:00,PRES-002,Pipeline Section 3,pressure,5.10,bar,good,warning
2024-01-15 00:50:00,PRES-002,Pipeline Section 3,pressure,4.72,bar,good,warning
2024-01-15 00:55:00,PRES-002,Pipeline Section 3,pressure,4.44,bar,good,normal
2024-01-15 01:00:00,PRES-002,Pipeline Section 3,pressure,4.18,bar,good,normal
2024-01-15 00:00:00,HUM-003,Storage Tank B,humidity,45.2,%,good,normal
2024-01-15 00:05:00,HUM-003,Storage Tank B,humidity,45.6,%,good,normal
2024-01-15 00:10:00,HUM-003,Storage Tank B,humidity,46.1,%,good,normal
2024-01-15 00:15:00,HUM-003,Storage Tank B,humidity,47.3,%,good,normal
2024-01-15 00:20:00,HUM-003,Storage Tank B,humidity,55.8,%,good,warning
2024-01-15 00:25:00,HUM-003,Storage Tank B,humidity,62.4,%,good,warning
2024-01-15 00:30:00,HUM-003,Storage Tank B,humidity,71.5,%,good,critical
2024-01-15 00:35:00,HUM-003,Storage Tank B,humidity,74.2,%,good,critical
2024-01-15 00:40:00,HUM-003,Storage Tank B,humidity,72.8,%,good,critical
2024-01-15 00:45:00,HUM-003,Storage Tank B,humidity,68.1,%,good,warning
2024-01-15 00:50:00,HUM-003,Storage Tank B,humidity,58.3,%,good,warning
2024-01-15 00:55:00,HUM-003,Storage Tank B,humidity,49.7,%,good,normal
2024-01-15 01:00:00,HUM-003,Storage Tank B,humidity,46.3,%,good,normal
2024-01-15 00:00:00,FLOW-004,Coolant Line 1,flow_rate,12.4,L/min,good,normal
2024-01-15 00:10:00,FLOW-004,Coolant Line 1,flow_rate,12.1,L/min,good,normal
2024-01-15 00:20:00,FLOW-004,Coolant Line 1,flow_rate,11.8,L/min,good,normal
2024-01-15 00:30:00,FLOW-004,Coolant Line 1,flow_rate,9.2,L/min,degraded,warning
2024-01-15 00:40:00,FLOW-004,Coolant Line 1,flow_rate,6.5,L/min,degraded,critical
2024-01-15 00:50:00,FLOW-004,Coolant Line 1,flow_rate,4.1,L/min,degraded,critical
2024-01-15 01:00:00,FLOW-004,Coolant Line 1,flow_rate,3.0,L/min,degraded,critical
2024-01-15 00:00:00,VOLT-005,Electrical Panel C,voltage,230.1,V,good,normal
2024-01-15 00:15:00,VOLT-005,Electrical Panel C,voltage,229.8,V,good,normal
2024-01-15 00:30:00,VOLT-005,Electrical Panel C,voltage,231.2,V,good,normal
2024-01-15 00:45:00,VOLT-005,Electrical Panel C,voltage,228.5,V,good,normal
2024-01-15 01:00:00,VOLT-005,Electrical Panel C,voltage,230.0,V,good,normal
2024-01-15 00:00:00,VIB-006,Pump Station 2,vibration,0.42,mm/s,good,normal
2024-01-15 00:10:00,VIB-006,Pump Station 2,vibration,0.45,mm/s,good,normal
2024-01-15 00:20:00,VIB-006,Pump Station 2,vibration,0.61,mm/s,good,normal
2024-01-15 00:30:00,VIB-006,Pump Station 2,vibration,0.88,mm/s,good,warning
2024-01-15 00:40:00,VIB-006,Pump Station 2,vibration,1.24,mm/s,good,warning
2024-01-15 00:50:00,VIB-006,Pump Station 2,vibration,1.87,mm/s,degraded,critical
2024-01-15 01:00:00,VIB-006,Pump Station 2,vibration,2.35,mm/s,degraded,critical
